usernname,score
AttentativeUHouse29,0.000869
ACuriousP,0.000000
O1955Palmer,0.000000
FearsJames_EvansOctopus,0.000000
CleverMBread,0.000000
TLazyVoorhees,0.000000
AttentativeSmallsLight72,0.006082
FleetGladwinPlate,0.029540
BusyRCandy,0.000000
Harold_MooreLion31,0.013901
Yvette1986W,0.000869
FamousMerrittCar28,0.000000
FastECar,0.000000
Mcneil82,0.000000
CandidMirandaBowl,0.000000
FuriousBarbaraBanana,0.014770
CarlFastY,0.000000
Bernice_Creed14,0.000000
Edward1989,0.000000
AttentativeBHouse,0.010426
ObnoxiousJohnsonPlate70,0.001738
CuriousECouch,0.000000
CandidVilvenCar36,0.000000
Denise37Brown,0.000000
FuriousCarLuis_Duncan,0.001738
FastMaberyIcecream,0.000000
FleetABread1963,0.000000
CuriousCoffeyCandy69,0.000869
Quintin_Machado2015,0.000000
WarneOctopus1973,0.000869
FamousPamBowl,0.000000
RacesAlldredgeCat,0.000000
WileyCarMoises,0.024327
Lillpop82,0.000000
SmartFBowl12,0.019114
RayBird95,0.000000
FamousSoriaPlate26,0.000869
AttentativeCCandy,0.000000
SmartHLight,0.016507
BillingsDog21,0.000000
JosephDarkMorgan,0.000869
CuriousSCar,0.000000
FleetCouchHector_Witcher,0.000869
WileyFisherPlate12,0.000000
BusySzerszenIcecream55,0.015639
M62Mcmillian,0.023458
Phillip_Mason86,0.000000
Bernice96,0.000000
FearsStephanieDog,0.073849
Courtney65B,0.016507
AttentativeHarkeyHouse1974,0.000000
Henry_Anderson52,0.008688
RacesCraigCat,0.000000
CleverCandyHugh_Vernon,0.000000
WatchesHatfieldLion,0.000000
WatchesHarrisonMouse,0.000000
DarkKnutsenCouch1982,0.000000
FastCollinsCar,0.000000
FuriousBananaEugene_Thomas,0.000000
WatchesSharonLion,0.000000
LazyIveyBread,0.000000
JohnFuriousFusco,0.000000
BusyBallLight72,0.000000
CandidWLight2000,0.000000
CuriousKBread,0.000869
Thomas39Mckee,0.000869
Melissa_Reece1991,0.000000
Damian1974S,0.000000
HoldsShinLion,0.000000
RacesLucille_CobleDog,0.000000
PaulCuriousP,0.000869
SmartSBread25,0.000000
CaroleWileyObrien,0.000000
MayHorse16,0.000000
FleetCouchTolbert,0.000000
AttentativeBananaEboni,0.000000
Kathleen_HernandezBird2007,0.000000
HoldsZimmermanDog,0.000000
JoseBusyM,0.000000
Smith1985,0.000000
AttentativeHouseShane,0.000000
NadineGuapoG,0.000000
WileyCandyJarrod,0.000000
GuapoLightConnie_Melby,0.021720
CleverGranthamIcecream,0.000000
GuapoJCandy,0.000000
GuapoRenovaIcecream,0.000869
VincentObnoxiousC,0.000869
WileyCPlate,0.000000
MaryCandidK,0.000000
FastBreadSteven_Chappell,0.013901
Lamison2012,0.001738
Michael1964,0.018245
Cunningham54,0.000869
CuriousMartinezBread,0.000000
Betty41Perez,0.006950
LazyAburtoCandy58,0.000000
HoldsNancy_YamamotoWhale,0.000000
HoldsParsonFish,0.000869
SmartDCandy,0.000000
CandidBlendenPlate,0.000000
MartinaGuapoFix,0.000000
KingDog1974,0.011295
JObnoxiousM,0.006082
FastLightFrances_Bridgett,0.012163
GwynWileyAnderson,0.000000
RunsContosBird,0.018245
FuriousEBread,0.000000
FearsLivermoreMouse,0.000869
GuapoJannaCar,0.000000
LazyGracieCar,0.000000
Alden1965B,0.000000
Travis42,0.005213
CandidALight,0.002606
CuriousCeciliaIcecream,0.000000
RunsFisherCat,0.000000
AliceFuriousKilcrease,0.000000
John1970Dyson,0.000000
DarkRBanana,0.000000
Sara1964Monaghan,0.001738
SObnoxiousWhite,0.000000
AlmaAttentativeS,0.000000
LavernAttentativeD,0.000869
FamousBowlSeitz,0.000000
Amy21Miller,0.000869
DarkNLight,0.000000
GravesWhale93,0.000000
Johnson38,0.000000
TallCarLisa,0.015639
GuapoRobertoCouch,0.000000
HoldsAmyWhale,0.000000
AttentativeAvaIcecream,0.000000
FearsTrammelBear,0.000869
Regina51F,0.000000
WatchesKimberly_OdomLion,0.000000
CleverMHouse,0.000000
TallMayesHouse2003,0.004344
CandidClaraIcecream,0.000000
WilliamLion68,0.000000
SmartBLight63,0.000000
Jose2014,0.000000
LovesJackHorse,0.000000
Michael30G,0.000000
FleetBowlChris_Ellis,0.000000
FleetEastLight,0.000000
Jean_Goss86,0.004344
LovesAnnDog,0.000000
AttentativeFCar,0.000000
Ronald15Wooten,0.000000
LovesWagnerFish,0.000869
DFamousChaplin,0.000000
MartinezCat88,0.001738
RacesSergio_ConnellCat,0.000000
David1981,0.000869
WatchesIna_CowellMouse,0.000000
LovesMcclureBear,0.000869
FamousSBowl,0.000000
ObnoxiousRussellCouch,0.024327
RichardFamousVogel,0.000000
RacesClareLion,0.000869
TallSouthwardCandy30,0.000869
WileyBLight,0.000000
LazyJBread,0.000000
RunsKathy_TysonLion,0.026064
FearsJohnsonOctopus,0.007819
RacesThomas_MooreLion,0.003475
James_CreekmurFish63,0.000000
CleverBruceLight,0.000000
RacesPaula_GonzalezCat,0.000000
FleetGlidewellCouch,0.000869
Albert_Powers55,0.000000
WatchesAnnette_BurkDog,0.000000
Jessica1963P,0.000000
CuriousLightRosa_Shaw,0.021720
FamousMBowl,0.000869
VCandidBeaulieu,0.000000
WileyBowlJimmy_Ortiz,0.000000
ClaraTallF,0.026933
AttentativeBinderBread23,0.000000
Dantzler1986,0.000000
WileyPlateHunter,0.009557
April1965,0.000000
TFamousPayne,0.000000
PamelaMouse2002,0.000000
Christopher_ChauLion1992,0.026064
FearsElmerWhale,0.029540
Karen_LurryBear1987,0.000000
CleverEllisBread67,0.000869
ObnoxiousRIcecream,0.000000
LovesSean_KleinBear,0.000000
Catherin_Brown32,0.000000
CandidMolleurCouch,0.013032
FuriousGilchristBanana,0.000000
TCleverL,0.000000
HoldsThomas_MercerMouse,0.000000
SCleverGraham,0.020851
MFastCasarez,0.000000
FamousCarCynthia_Powe,0.000869
WileyHonakerPlate63,0.000000
MoisesMouse4,0.008688
FleetBurchBanana,0.001738
CleverCouchElla,0.000000
FleetGregoryIcecream,0.000000
LovesEstelleBird,0.000000
RunsClarenceFish,0.000000
CuriousMBread,0.000000
FastBowlJorge_Perkins,0.000000
HoldsWilliamBear,0.000000
WileyLightScott,0.000000
Mark_Tavares85,0.000000
LovesRaymondOctopus,0.011295
Sarah_Maloney1957,0.000000
SFuriousUrquhart,0.000000
KevinAttentativeSmith,0.016507
CleverIcecreamGreene,0.000000
R76Burrus,0.000000
MilburnHorse1955,0.000869
Helen_FerberBird2012,0.040834
Iglesias4,0.000000
Charlotte1957,0.000869
LovesFordDog,0.000000
Elizabeth_Hatton1970,0.000000
Jeronimo66,0.000000
BusyRichardCouch,0.000000
J1960Barnes,0.014770
Edward_Alston1985,0.001738
DennisOctopus1978,0.000869
Melissa_Mcnair48,0.000000
FamousPearsonPlate2007,0.000000
WilliamFish1976,0.000000
DarkWHouse,0.000000
FleetLIcecream,0.000000
Jared_BaughmanWhale30,0.000000
WatchesKathleenCat,0.000000
ThomasCleverM,0.000000
GilbertDarkH,0.000000
Wynona1969,0.000000
RacesCathleenLion,0.000869
LazyCHouse,0.026064
FamousWHouse,0.000000
SwintonBird35,0.000000
CuriousSBread,0.000000
Robert86Harvey,0.000000
SFleetBlumenthal,0.000000
MObnoxiousT,0.000000
LazyHCar,0.000869
SmartCarLisa,0.017376
LindsayGuapoB,0.000869
KevinFamousSeavey,0.000000
SmartArakakiBowl2013,0.000869
RunsFrancisco_MetayerDog,0.000000
Joseph_Kassis1976,0.000000
MartinezCat27,0.000000
FastThomasBanana,0.000000
Gerald_Freeman7,0.000000
Nannie_Martino20,0.000869
CleverBowlRoss,0.000000
William26Boyd,0.013032
SteveWhale1998,0.000000
ThomasCat1955,0.000869
Cummings26,0.000000
FuriousCouchSergio_Cauffman,0.000869
AldanaLion62,0.007819
SmartHoyBowl,0.000000
F41Booth,0.000000
CandidEwingPlate2011,0.000869
FastTBanana,0.013901
AttentativeLightMarilee_Bush,0.011295
HoldsCruceBear,0.000000
TallJBanana,0.027802
Richard_CorumMouse35,0.000000
RacesMichael_ReesBear,0.000869
FuriousNCar,0.000869
LBusyPatterson,0.000000
CandidPlateMiles_Parrott,0.020851
AmandaGuapoS,0.046047
Karen2017T,0.000869
Barbara_RicheyCat65,0.000869
JefferyDog84,0.000000
CBusyEskridge,0.000000
RacesLorenaOctopus,0.000000
FleetGibsonCar1970,0.000000
TallEllisonBanana71,0.000000
FleetGlennCandy,0.000000
ObnoxiousWellsPlate,0.000869
Crystal_SantosOctopus79,0.000000
SmartHouseAndrea_Dessert,0.000869
DonaldSmartSanford,0.000000
FuriousMCouch97,0.000000
ChristineCandidSilva,0.000000
DarkCouchVictoria,0.000000
GarcesOctopus1993,0.000000
LakeishaFuriousW,0.000000
ObnoxiousCandyYvonne,0.000000
FearsElizabeth_CarrHorse,0.000000
WatchesMielkeMouse,0.000869
GuadalupeDog2018,0.001738
JGuapoIkehara,0.000000
WatchesJeffreyCat,0.006082
RayLion2,0.000000
LarryDog71,0.019114
Robert13,0.000869
LynchCat85,0.026933
GuapoLCandy20,0.000000
CharlesCuriousJ,0.000000
DarkKCouch1991,0.000000
TerryMouse97,0.000000
SmartFIcecream,0.000000
CleverSaxonHouse43,0.030408
DarkArchieIcecream,0.000869
Agnes1997,0.000000
RacesAnnabelle_DewittHorse,0.000000
CandidBIcecream,0.000000
ThomasBird37,0.000000
LazyACar48,0.000869
Nicholas73J,0.033015
Thurman79F,0.000869
John1959T,0.000000
FastIcecreamGary_Hahn,0.001738
AttentativeDBread,0.000000
Arnold_Brown1965,0.000869
WileyWebberHouse74,0.012163
FastHLight,0.000000
MelissaMouse2002,0.000000
Steven_BoyceWhale87,0.020851
SmartLightLeven,0.023458
SmartBreadErin_Cable,0.000000
Ryan2011,0.000869
C2007Lyford,0.000000
James1957B,0.000869
MelissaFleetL,0.011295
Ronda_Bermudez32,0.000869
CandidSamuelIcecream,0.000000
RunsHuntCat,0.000000
FearsMairFish,0.000869
GuapoLightBeveridge,0.024327
Susan_Silveri66,0.000000
ESmartLuescher,0.000000
ObnoxiousDianneCouch,0.000000
CuriousBananaJanet,0.000869
FleetFLight,0.000000
ObnoxiousWilhiteCouch15,0.015639
CastilloDog1978,0.000000
Dylan1987Mcwhorter,0.000000
MDarkMeeker,0.009557
Susie1991A,0.000000
FuriousSLight,0.000000
FastRBread17,0.000869
T1969Raney,0.017376
ECleverEstrada,0.000000
Ray_BuschMouse96,0.000000
Angela1956,0.000000
Sam1969Dempsey,0.000000
BusyLightWilma,0.000000
EvelynHorse29,0.000000
CleverAmyIcecream,0.001738
Ralph1959,0.000000
FastAbbottCouch,0.000000
Katherine_Tillman91,0.000000
ObnoxiousJPlate,0.000000
GuapoSLight,0.009557
FrankieFish96,0.007819
ObnoxiousBCandy,0.010426
CuriousVictorLight2004,0.013901
DarkEPlate,0.000869
Barbara50,0.009557
FamousWatsonIcecream,0.000000
Pamela24,0.000000
SmartEdithBread,0.000869
CarlosLion2005,0.000000
CleverLightGraham,0.000869
D1979Carrothers,0.000000
CandidMartinLight19,0.000000
FamousBLight2000,0.000000
M1996Riddle,0.000000
CandidPlateMike_Wolfe,0.000000
ObnoxiousGCouch,0.000869
GuapoDoddsBowl,0.000000
AttentativeBreadWendy,0.031277
EBusyRayner,0.000000
BusySmithHouse78,0.000000
EmmaHorse96,0.000000
RAttentativeW,0.000000
KennethCandidG,0.000000
RFamousFenstermacher,0.000000
CleverHansonBowl63,0.000000
SmartHCouch,0.000869
FastBananaDickerson,0.000000
FearsBornOctopus,0.000000
Rosa1954Needles,0.000869
GuapoACar,0.000000
FamousWBanana40,0.000000
BCandidF,0.000000
CleverScottPlate1964,0.000000
Samuel1951,0.000869
FamousHouseMargaret,0.000000
Benford1973,0.000000
William31Z,0.000000
WileyLightJason,0.000000
FamousBananaJose,0.000000
DouglasCleverWarthen,0.032146
DarkCHouse41,0.000000
ObnoxiousSBanana54,0.007819
WileyAldapeCouch2013,0.000000
FastCandyDonna,0.000000
CandidRLight,0.000000
RCleverL,0.000000
GermanWrinkler43,0.004344
Brooke78,0.012163
John_Cooper3,0.000000
FamousRodriguezLight,0.000869
BeagleMouse1965,0.046047
DonnaLion52,0.000000
MargaretFastF,0.024327
HoldsEugene_NogglerOctopus,0.000000
SmartGCar,0.000000
WatchesBruce_ParkerBird,0.000000
AttentativeMartinLight,0.000000
ObnoxiousCouchKlein,0.026064
CCleverL,0.000000
AmandaBear95,0.000000
CharlesFamousWhite,0.013032
FleetFBanana,0.001738
Ismael_HamillHorse84,0.000000
RaisaCleverFalls,0.000000
G2010Hillard,0.000000
CandidBowlHodge,0.000000
CandidTBread,0.000000
Melinda23,0.000000
TallSaleadoCouch,0.000000
AttentativeIcecreamArmstrong,0.000000
Carlos_Gordon83,0.000869
FamousDavidCar,0.000000
HoldsLaura_MacdonaldCat,0.000869
CandidDonnaBanana,0.000000
ShannonFamousKramer,0.026064
CandidBHouse2006,0.034752
JFamousD,0.000000
RunsMarilynCat,0.000000
RobertFamousV,0.015639
SmartPlateGabriel_Cheeks,0.000000
CuriousReedBanana,0.000000
FastMarcellaBread,0.000000
BusyBBanana81,0.019114
SmartRCouch,0.017376
RacesGeorgeWhale,0.000000
SmartCandyCrutchfield,0.000000
LovesWilsonHorse,0.000000
WatchesMichael_ObrienMouse,0.000869
ObnoxiousBLight1983,0.001738
SmartHCandy1995,0.000000
Sheila_Weichel56,0.027802
FamousIcecreamKirgan,0.000000
TallPBanana1958,0.000000
,0.006082
Morgan69,0.000000
FuriousLeyvaPlate,0.000000
BusyRamseyBread62,0.000000
SmartPierceBread,0.017376
ErrolFish2002,0.000000
WileyLLight,0.000000
AttentativeRobertBanana,0.000000
AbernethyHorse8,0.008688
LazyIcecreamLeta_Mcdevitt,0.000000
CarverWhale90,0.025195
FastSBread,0.000000
Shaffer2004,0.000000
RacesDavid_MeyerMouse,0.000000
FamousGCandy1996,0.000000
AttentativeKBowl,0.033015
FearsLackeyCat,0.000869
FearsRodgersMouse,0.000869
FearsTheodoreLion,0.000869
ObnoxiousDCandy51,0.000000
JeffryFish1959,0.000000
John_FreemanBird97,0.000000
BusyJBanana,0.000869
LovesJaimeCat,0.014770
DarkJohnsonCar,0.005213
BusyDealBread97,0.000000
RunsHoodHorse,0.000000
Oscar_Williams11,0.001738
BusyBradleyPlate,0.006082
RacesAndrewMouse,0.000000
FearsDanielMouse,0.000000
SmartWilliamsCar21,0.000000
SmartStephanyHouse,0.000000
ObnoxiousIcecreamGrimes,0.000000
CuriousLightBacklund,0.002606
SmartMCouch,0.000000
Kelley2006,0.000000
GuapoBCouch,0.000000
WileyCCar,0.000869
AttentativeIcecreamOrchard,0.000000
CleverCandyElaine_Marte,0.000000
DarkHeatherLight,0.000000
GuapoWilsonBread,0.000000
GeorgeGuapoWingard,0.000000
Mary1959Messer,0.000000
LovesJulieWhale,0.000000
CleverCPlate,0.000000
Albert2001Popken,0.006950
Bickford1950,0.000000
ShielaFastPatton,0.000000
Phyllis1957,0.000869
ECleverH,0.000000
Lloyd_Warnke94,0.027802
Joseph2005Tant,0.000869
AngieLazyBroenneke,0.000000
FleetThomasCouch37,0.000000
FuriousMIcecream,0.000000
DarkWilkeHouse,0.013901
ObnoxiousFPlate13,0.000000
VivianSmartH,0.000869
DarkSusanBread,0.000000
WatchesJeffreyFish,0.000000
M24Verne,0.000000
Tammy_ReynosoWhale1958,0.001738
Stromme1972,0.000000
LovesPhyllis_GunnDog,0.000000
ObnoxiousSparlingBread31,0.000000
LazyCharlesBowl,0.000000
FastBowlLonnie_Cauthen,0.000000
Nicole1954Labranche,0.000000
Jimmie59,0.000869
FleetVasquezBowl11,0.009557
LawrenceObnoxiousL,0.000000
LovesEileenBear,0.017376
LFamousMason,0.000000
FleetMLight,0.000000
FastLightJohnson,0.000869
WileyDHouse,0.000000
FastCandyLingberg,0.000869
MarthaGuapoHolland,0.000000
CleverBeverlyCandy,0.000000
P61Howard,0.015639
DarkDBread1973,0.000869
Fernando42,0.000000
BusyNHouse,0.008688
WileyABanana43,0.010426
LovesMichelle_SepeDog,0.000000
SmartPlateRobert,0.000869
Linda70W,0.001738
Joseph_GoodmanBird88,0.000000
GuapoGrambleBanana1952,0.000000
BridgetTallB,0.000000
LyleCleverT,0.000000
CleverPCar,0.000000
ObnoxiousBernsteinCandy1988,0.000000
FleetPlateGraham,0.000000
GuapoMPlate,0.000000
FearsAshleyBear,0.000000
FleetEPlate,0.000000
LazyCarJohn,0.000000
Beverly12B,0.006950
RacesJoan_MurphyOctopus,0.000000
FearsRobertMouse,0.000869
J93Wronski,0.032146
LovesVirginia_PirainoBird,0.000869
Andrew21,0.000000
C2007Beck,0.000869
LazyJoannHouse,0.000000
ObnoxiousHBanana2002,0.000000
SarkisBird88,0.000000
TallIcecreamStewart,0.000000
LazyCarChristopher,0.000000
RunsMeyerOctopus,0.000000
LazyIvyIcecream,0.000000
CuriousSchramBowl,0.000000
CleverKathrynCandy,0.000000
Amanda1954R,0.000000
Circus,0.015639
AlwaysSafePowerCompany,0.314509
FearsMary_SchultzBird,0.000000
GFuriousN,0.000000
FamousDaleCouch7,0.000869
FleetHBowl,0.000000
LovesEugeneMouse,0.000000
CuriousOIcecream17,0.000869
AttentativeMIcecream1996,0.000000
FastDPlate83,0.000000
FastBananaAvery_Smith,0.000869
FleetMetzLight24,0.000000
SmartRBowl,0.006950
Robert_MoorefieldCat1981,0.000000
Janette30S,0.000000
CuriousPlateJesse,0.000000
MFamousL,0.006950
BusyMHouse,0.011295
CandidIcecreamHeidi_Muir,0.000869
Regina_ZeilerCat2,0.000000
BusyAdamsIcecream79,0.000869
Sharon_BrancoCat13,0.000000
WileyTheodoraIcecream,0.000000
DarkCandyJoan,0.000000
AttentativeSBowl1998,0.000000
HoldsDespainWhale,0.000000
Rebecca_RomigFish2015,0.002606
GuapoPlateLucille_Howell,0.000000
TVHostBrad,0.326672
Workin4aLivin,0.079062
PeppyPepper,0.051260
M1959Kamnik,0.000000
IreneBird97,0.000000
Mrs.Tillenbottom,0.178975
MainCat98,0.000000
RunsGraigBird,0.000000
LovesMarcusCat,0.000000
LazyGCandy56,0.000000
CleverIcecreamPatricia_Tarango,0.000000
CandidWidenLight1992,0.010426
CleverRichardPlate,0.000000
William90,0.026933
RunsCombsCat,0.000000
circusfan99,0.009557
AttentativeEBanana,0.000869
LaurenSmartLove,0.000000
CuriousCarRotondo,0.004344
DerekNolan,1.000000
RamonaSmartF,0.007819
BlaineCat56,0.007819
CandidKBowl,0.000000
JObnoxiousAntolin,0.000000
CassieStones,0.399652
Duane_Maisel44,0.027802
BusyBreadCarmen_Wentworth,0.000000
ObnoxiousWeldonBowl,0.009557
BusyLightJose_Hayes,0.000869
LazyDBowl,0.000000
ChloeJohnson,0.651607
Glenn_Allen6,0.000000
LovesMary_BrentHorse,0.000000
AdministratorSophie,0.354474
WileyRCar,0.000000
CuriousBreadLee_Garcia,0.000000
JanelleOctopus1989,0.000000
ObnoxiousCarBelinda_Paul,0.021720
PAttentativeLittle,0.019983
Charles2019,0.000000
FleetJPlate,0.000000
Murray55,0.000000
Ruth1956Washington,0.000000
Scott2010,0.006950
BusyHCouch2001,0.016507
RachelSimmons,0.319722
ElwinJr,0.107732
M2000Couley,0.000000
FleetRudloffHouse,0.000000
JessicaFastOtt,0.000000
RobinsonBear1980,0.000869
TheresaDog1987,0.005213
C2Howell,0.000000
CelebrityBrattyMatty,0.028671
FearsAbrahamHorse,0.000000
JoshuaBird60,0.000869
EricObnoxiousC,0.000000
Jennifer16M,0.004344
FastGCar,0.000000
BTallMosley,0.000869
Jose32Francis,0.000000
FuriousLightMary_Bates,0.000000
AttentativeIcecreamMartinez,0.000000
RunsMatthewFish,0.000000
Henderson2003,0.000000
SmartBCouch,0.000000
ObnoxiousJHouse,0.000000
CleverCandyBarbara_Nye,0.000000
FamousKCandy,0.000000
Robert_MancusoOctopus79,0.000869
FamousLaverneCouch,0.000000
Branch16,0.000000
Elizabeth_HartzellMouse49,0.000869
FleetFrankLight,0.015639
Jeanetta1950,0.000000
R1989Whitworth,0.000869
FleetWPlate,0.000869
JamesAttentativeC,0.000000
AttentativeTristanHouse,0.000000
Charles_FloresCat2015,0.000000
FuriousDeborahPlate,0.000000
DarkQCouch81,0.011295
Sarah2017B,0.000869
G1954Middleton,0.000000
AttentativeBowlKen,0.000000
GeorgeWileyHudson,0.000000
CleverCouchKimberly,0.000000
FastABanana,0.000000
FuriousRLight,0.000000
AnnetteMouse1955,0.000000
AnthonyLion24,0.000000
HoldsFlynnHorse,0.003475
JamesCandidMartin,0.000000
CandidHBanana,0.000000
WileyRandallIcecream,0.012163
FamousRCandy,0.000000
FuriousCouchRobert_Kroll,0.000000
CuriousCouchLori,0.000000
RacesVidrioLion,0.000000
RacesCraigBird,0.000000
CandidDCar,0.000000
RacesJane_KempfBear,0.008688
William21,0.024327
RacesSpenglerBear,0.000000
FleetPCar1976,0.000000
SandraWhale41,0.000000
Steven_Zook24,0.016507
CuriousHouseCharlotte_Labbe,0.000000
Weeden1958,0.000000
DarkKimPlate,0.000000
ObnoxiousDebraIcecream,0.000869
Berger30,0.000000
Salgado71,0.000000
BusyBPlate1981,0.000000
RacesLoveWhale,0.000000
RunsOctaviaLion,0.000000
C2011Murphy,0.000000
CuriousBreadJustin_Day,0.000000
SmartMLight,0.000000
PrescottOctopus1983,0.000000
TallRLight1950,0.000000
PaulObnoxiousCowan,0.000000
Faye_Walker2011,0.033015
MunizHorse97,0.000000
TallHCandy11,0.000000
Joan1969G,0.000869
FastBreadMary_Pacheco,0.019983
MaryBear1957,0.000000
LovesGuglerOctopus,0.000000
FigueroaOctopus1959,0.012163
SmartMCandy,0.013032
RacesPertsovskyCat,0.007819
WileyGaitherBanana,0.022589
LovesTheresa_KeyserBear,0.001738
GoodmanBird1974,0.000000
NicholeBird1997,0.000869
FamousDBanana,0.000000
BusySimonBowl2004,0.000000
DarkCCandy,0.000000
Wilcox1969,0.006082
ObnoxiousHouseMichael_Hadden,0.000000
ObnoxiousVBanana,0.000869
FastVBread82,0.014770
Ben_Garrison12,0.000000
James_DiffeyBird68,0.000000
AttentativeSIcecream,0.000000
Luis_WilliamsBird61,0.000000
Heather1964,0.000000
L45Mcginnis,0.000000
Julia_BurgerBear1974,0.000000
James_MildenbergerBear1977,0.000000
Earl_Camacho80,0.000000
TallWardIcecream,0.000000
FamousOPlate,0.000000
CleverJoanBowl,0.003475
JosephMouse2008,0.027802
CleverMPlate89,0.021720
TurnerBear39,0.000000
GuapoSummersBread1954,0.000000
FuriousCouchMalone,0.000000
RacesAndreWhale,0.000000
LazyMancusoCandy,0.000000
WileyCooperBread23,0.000000
DarkFreebornIcecream,0.001738
ObnoxiousJPlate1973,0.000869
Chad_BarronMouse1962,0.000000
DarkHoltCandy,0.000000
StubleMouse40,0.000000
WileyCouchMarie_Lavender,0.021720
FleetMHouse,0.000869
CandidKlinkBowl61,0.000000
LovesAaron_CanalesOctopus,0.031277
Wayne98P,0.000000
FastMCandy,0.000869
WatchesOlgaBear,0.033884
James_Martinez2012,0.000000
Joan_DeponteLion23,0.006082
CleverCouchHauff,0.000000
Brandi1970,0.000000
GeorgiaFuriousBallard,0.012163
BusyEHouse1971,0.000000
CleverIcecreamPatricia,0.000000
TallMarkLight,0.000000
SFastTemple,0.000000
ShirleyDog68,0.000000
GraceLazyHugill,0.000869
SonjaBear2015,0.000000
GuapoLindsayCouch,0.000000
JAttentativeDewitt,0.000000
WatchesJessicaBird,0.000000
WileyCarLynn_Hawkins,0.000000
WileySHouse,0.000869
SmartHouseTrout,0.000000
TallWCandy,0.000000
Audette1998,0.000869
TObnoxiousLemle,0.004344
Jeff_ThomasWhale1950,0.000000
SBusyJames,0.037359
CrosslandBird1986,0.000000
Vivian91S,0.000000
TallDBread,0.000000
ClevelandObnoxiousCarter,0.008688
HWileySoares,0.000000
RunsAnthony_TranBear,0.000000
FastFortIcecream,0.013032
LarrySmartW,0.000000
RebeccaFleetDaisley,0.000000
Terrie1957,0.000000
DarkStellaCar,0.000000
LazyEBread,0.000000
CleverBBanana,0.000000
BusyCandyManning,0.000000
FuriousTimHouse,0.000000
CleverBreadKathleen,0.000000
WatchesChongDog,0.000000
Brittany_SanchezDog61,0.000000
FearsJose_OsgoodOctopus,0.000000
FuriousHowesHouse1972,0.000000
LovesChristopher_McclureLion,0.000000
FamousTanyaBanana,0.000000
KennethHorse21,0.000000
Spinney49,0.000000
